H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_OO(r)

 Bin no.        r             g(r)        std.
    534  15.95995      1.002953     0.5386829E-01
    535  15.98995      1.001922     0.5926737E-01
    536  16.01995      1.001372     0.5507522E-01
    537  16.04996      1.001680     0.5510227E-01
    538  16.07996      1.002942     0.5643294E-01
    539  16.10996      1.002321     0.5742133E-01
    540  16.13996      1.002231     0.5937387E-01
    541  16.16996      1.003130     0.5599183E-01
    542  16.19996      1.002334     0.5846646E-01
    543  16.22996      1.002275     0.6012009E-01
    544  16.25996      1.002955     0.5810239E-01
    545  16.28996      1.002320     0.6175745E-01
    546  16.31996      1.002831     0.5881003E-01
    547  16.34996      1.002721     0.5869336E-01
    548  16.37996      1.001671     0.5835012E-01
    549  16.40996      1.001271     0.5978605E-01
    550  16.43996      1.001778     0.5848175E-01
    551  16.46996      1.000746     0.6164829E-01
    552  16.49997      1.002790     0.6045131E-01
    553  16.52997      1.001338     0.6159993E-01
    554  16.55997     0.9999840     0.6382211E-01
    555  16.58997      1.000696     0.6273416E-01
    556  16.61997     0.9995826     0.6420341E-01
    557  16.64997     0.9993905     0.6462306E-01
    558  16.67997     0.9998189     0.6503542E-01
    559  16.70997     0.9997312     0.6456169E-01
    560  16.73997     0.9986865     0.6188327E-01
    561  16.76997     0.9992742     0.6659313E-01
    562  16.79997     0.9984583     0.6419367E-01
    563  16.82997     0.9972392     0.6610218E-01
    564  16.85997     0.9972605     0.6575909E-01
    565  16.88997     0.9961559     0.6781574E-01
    566  16.91998     0.9964831     0.6770887E-01
    567  16.94998     0.9970584     0.6617742E-01
    568  16.97998     0.9962263     0.6991593E-01
    569  17.00998     0.9957048     0.6858093E-01
    570  17.03998     0.9942225     0.7032522E-01
    571  17.06998     0.9950404     0.7010918E-01
    572  17.09998     0.9943203     0.7010918E-01
    573  17.12998     0.9923402     0.7126690E-01
    574  17.15998     0.9919716     0.7150529E-01
    575  17.18998     0.9908060     0.7363785E-01
    576  17.21998     0.9919592     0.7399193E-01
    577  17.24998     0.9908087     0.7379875E-01
    578  17.27998     0.9899606     0.7395527E-01
    579  17.30998     0.9896441     0.7539006E-01
    580  17.33998     0.9899686     0.7622468E-01
    581  17.36999     0.9897473     0.7620200E-01
    582  17.39999      1.000019     0.0000000E+00
    583  30.29982     0.9577573     0.7177610E-01
